"","weight","state","age","gender","vote","unit"
"1",3412.1834,12,NA,2,NA,0
"2",3379.5212,12,2,1,2,0
"3",3352.4566,12,2,2,2,0
"4",3731.1444,12,1,1,2,0
"5",3234.0363,12,NA,2,NA,0
"6",3394.6987,12,NA,1,NA,0
"7",4759.3018,12,0,2,1,0
"8",6149.2513,12,0,1,2,0
"9",3938.5569,12,1,2,2,0
"10",3990.6312,12,1,1,2,0
"11",3257.1177,12,1,2,2,0
"12",4261.7606,12,2,1,NA,0
"13",3343.1431,12,2,2,NA,0
"14",3769.7337,12,3,2,NA,0
"15",3297.0768,12,NA,2,NA,0
"16",3555.1232,12,2,1,2,0
"17",4165.3712,12,3,2,2,0
"18",3403.2774,12,1,1,NA,0
"19",3069.1676,12,3,1,2,0
"20",3159.2678,12,1,1,2,0
"21",3067.9128,12,3,1,1,0
"22",3834.2496,12,2,1,2,0
"23",3449.1656,12,2,2,2,0
"24",4506.0645,12,0,2,2,0
"25",3587.4003,12,0,2,1,0
"26",3183.7273,12,2,2,2,0
"27",3792.084,12,2,1,2,0
"28",3331.2098,12,1,2,NA,0
"29",3182.1659,12,0,2,2,0
"30",3320.5656,12,1,1,2,0
"31",4617.3974,12,1,2,2,0
"32",3568.8959,12,1,1,NA,0
"33",3461.9837,12,1,2,NA,0
"34",4031.936,12,1,2,1,0
"35",3558.6245,12,NA,2,NA,0
"36",3603.2733,12,2,1,2,0
"37",3708.7781,12,2,2,2,0
"38",3182.1659,12,0,2,2,0
"39",3420.2081,12,0,1,NA,0
"40",3182.1659,12,0,2,1,0
"41",3475.5158,12,2,2,2,0
"42",3100.6095,12,2,1,1,0
"43",3744.3264,12,1,1,2,0
"44",4053.3011,12,0,2,2,0
"45",3163.5266,12,1,1,2,0
"46",4303.4107,12,0,2,1,0
"47",3394.4237,12,2,2,2,0
"48",3883.4806,12,0,2,1,0
"49",4236.1351,12,1,1,2,0
"50",3504.9929,12,NA,1,NA,0
"51",3757.9706,12,2,2,2,0
"52",3462.8533,12,2,2,2,0
"53",3476.2072,12,2,2,2,0
"54",4132.0411,12,0,1,1,0
"55",3654.3889,12,0,2,2,0
"56",3407.947,12,2,1,2,0
"57",3882.4147,12,1,2,2,0
"58",3828.6606,12,1,1,2,0
"59",3119.1757,12,1,2,2,0
"60",3390.7544,12,0,2,1,0
"61",3497.8856,12,2,1,2,0
"62",3230.2428,12,2,2,2,0
"63",3568.616,12,2,1,2,0
"64",3404.0186,12,3,2,2,0
"65",3716.6106,12,2,2,NA,0
"66",3925.1558,12,2,1,1,0
"67",3163.5266,12,1,1,1,0
"68",4268.798,12,1,2,2,0
"69",3250.7426,12,3,2,2,0
"70",3382.2101,12,3,2,2,0
"71",4500.5666,12,1,1,1,0
"72",3700.1225,12,1,2,1,0
"73",3720.712,12,0,1,1,0
"74",2886.3086,12,0,2,1,0
"75",3138.2121,12,3,1,NA,0
"76",3250.7426,12,3,2,NA,0
"77",3344.0279,12,2,1,NA,0
"78",3595.5468,12,0,1,1,0
"79",3653.2242,12,2,1,2,0
"80",3740.0457,12,2,2,2,0
"81",5455.7174,12,0,1,2,0
"82",3501.7471,12,1,2,2,0
"83",3526.2395,12,0,2,1,0
"84",3067.9128,12,3,1,NA,0
"85",3221.1137,12,NA,2,NA,0
"86",3605.7428,12,3,2,1,0
"87",3152.9306,12,2,1,2,0
"88",3067.9128,12,3,1,2,0
"89",3859.6824,12,1,2,2,0
"90",3254.553,12,NA,2,NA,0
"91",3227.6834,12,2,1,2,0
"92",3708.7781,12,2,2,2,0
"93",3497.793,12,1,1,1,0
"94",3175.4046,12,1,2,1,0
"95",3560.3195,12,1,1,2,0
"96",3247.6379,12,1,2,2,0
"97",3775.699,12,0,1,1,0
"98",3316.0779,12,1,1,2,0
"99",4169.9332,12,1,2,2,0
"100",3657.6082,12,1,1,2,0
"101",3813.3437,12,1,1,2,0
"102",3055.8923,12,2,2,1,0
"103",3046.054,12,2,2,2,0
"104",3250.7426,12,3,2,1,0
"105",4694.9058,12,1,1,1,0
"106",4240.3554,12,2,1,2,0
"107",3801.1551,12,2,2,2,0
"108",5767.3518,12,0,2,2,0
"109",5657.7707,12,1,1,2,0
"110",3194.4511,12,2,1,2,0
"111",3162.1055,12,2,2,2,0
"112",3321.2764,12,2,1,2,0
"113",3252.1456,12,2,2,2,0
"114",4613.485,12,1,1,1,0
"115",4006.2583,12,1,2,2,0
"116",3849.9897,12,NA,2,NA,0
"117",3900.2368,12,1,2,2,0
"118",3510.6252,12,1,2,2,0
"119",3462.8533,12,2,2,2,0
