"weight" "state" "age" "gender" "vote" "unit"
3412.1834 12 NA 2 NA 0
3379.5212 12 2 1 2 0
3352.4566 12 2 2 2 0
3731.1444 12 1 1 2 0
3234.0363 12 NA 2 NA 0
3394.6987 12 NA 1 NA 0
4759.3018 12 0 2 1 0
6149.2513 12 0 1 2 0
3938.5569 12 1 2 2 0
3990.6312 12 1 1 2 0
3257.1177 12 1 2 2 0
4261.7606 12 2 1 NA 0
3343.1431 12 2 2 NA 0
3769.7337 12 3 2 NA 0
3297.0768 12 NA 2 NA 0
3555.1232 12 2 1 2 0
4165.3712 12 3 2 2 0
3403.2774 12 1 1 NA 0
3069.1676 12 3 1 2 0
3159.2678 12 1 1 2 0
3067.9128 12 3 1 1 0
3834.2496 12 2 1 2 0
3449.1656 12 2 2 2 0
4506.0645 12 0 2 2 0
3587.4003 12 0 2 1 0
3183.7273 12 2 2 2 0
3792.084 12 2 1 2 0
3331.2098 12 1 2 NA 0
3182.1659 12 0 2 2 0
3320.5656 12 1 1 2 0
4617.3974 12 1 2 2 0
3568.8959 12 1 1 NA 0
3461.9837 12 1 2 NA 0
4031.936 12 1 2 1 0
3558.6245 12 NA 2 NA 0
3603.2733 12 2 1 2 0
3708.7781 12 2 2 2 0
3182.1659 12 0 2 2 0
3420.2081 12 0 1 NA 0
3182.1659 12 0 2 1 0
3475.5158 12 2 2 2 0
3100.6095 12 2 1 1 0
3744.3264 12 1 1 2 0
4053.3011 12 0 2 2 0
3163.5266 12 1 1 2 0
4303.4107 12 0 2 1 0
3394.4237 12 2 2 2 0
3883.4806 12 0 2 1 0
4236.1351 12 1 1 2 0
3504.9929 12 NA 1 NA 0
3757.9706 12 2 2 2 0
3462.8533 12 2 2 2 0
3476.2072 12 2 2 2 0
4132.0411 12 0 1 1 0
3654.3889 12 0 2 2 0
3407.947 12 2 1 2 0
3882.4147 12 1 2 2 0
3828.6606 12 1 1 2 0
3119.1757 12 1 2 2 0
3390.7544 12 0 2 1 0
3497.8856 12 2 1 2 0
3230.2428 12 2 2 2 0
3568.616 12 2 1 2 0
3404.0186 12 3 2 2 0
3716.6106 12 2 2 NA 0
3925.1558 12 2 1 1 0
3163.5266 12 1 1 1 0
4268.798 12 1 2 2 0
3250.7426 12 3 2 2 0
3382.2101 12 3 2 2 0
4500.5666 12 1 1 1 0
3700.1225 12 1 2 1 0
3720.712 12 0 1 1 0
2886.3086 12 0 2 1 0
3138.2121 12 3 1 NA 0
3250.7426 12 3 2 NA 0
3344.0279 12 2 1 NA 0
3595.5468 12 0 1 1 0
3653.2242 12 2 1 2 0
3740.0457 12 2 2 2 0
5455.7174 12 0 1 2 0
3501.7471 12 1 2 2 0
3526.2395 12 0 2 1 0
3067.9128 12 3 1 NA 0
3221.1137 12 NA 2 NA 0
3605.7428 12 3 2 1 0
3152.9306 12 2 1 2 0
3067.9128 12 3 1 2 0
3859.6824 12 1 2 2 0
3254.553 12 NA 2 NA 0
3227.6834 12 2 1 2 0
3708.7781 12 2 2 2 0
3497.793 12 1 1 1 0
3175.4046 12 1 2 1 0
3560.3195 12 1 1 2 0
3247.6379 12 1 2 2 0
